Title,URL,Location
"General Manager - Holiday Inn, Dhaka",https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/123554/apply/email,"BD, Dhaka"
Assistant Food & Beverages Manager - voco®Riyadh,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124402/apply/email,"Saudi Arabia, Riyadh"
Food & Beverages Manager - voco® Riyadh,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124401/apply/email,"Saudi Arabia, Riyadh"
Franchise Hotel - Asset Tagger,https://franchisejobs.ihg.com/apply/abbcc7b7-2d06-4bdf-a5a3-d2c8f82cc4d4,"Bahrain, Manama"
Franchise Hotel - Front Office Supervisor,https://franchisejobs.ihg.com/apply/79bf699f-ed3a-4658-8ccf-e307754793e1,"Bahrain, Manama"
Junior Sous Chef,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/123085/apply/email,"Qatar, Doha"
Spa Therapist - InterContinental Cairo Citystars Hotel,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/115350/apply/email,"Egypt, Cairo"
Accounts Payable,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124400/apply/email,"Oman, Muscat"
General Accountant,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124398/apply/email,"Oman, Muscat"
Assistant Credit Manager,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124399/apply/email,"Oman, Muscat"
Chef de Partie (Cold Kitchen),https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/120220/apply/email,"Oman, Muscat"
Retail Manager - Regent Santa Monica Beach Opening 2024,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124396/apply/email,"United States, California, Santa Monica"
Senior Sales Manager - InterContinental San Antonio (New Hotel Opening),https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/123953/apply/email,"United States, Georgia, Atlanta"
Houseperson,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/123287/apply/email,"United States, Georgia, Cusseta-Chattahoochee"
Head Baker,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124174/apply/email,"Qatar, Doha<br />Qatar, Doha"
Kitchen Coordinator,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124175/apply/email,"Qatar, Doha<br />Qatar, Doha"
"Senior Legal Counsel, South West Asia",https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124185/apply/email,"India, Gurgaon"
Laundry Attendant (Maldivian),https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124392/apply/email,"Maldives, Lhaviyani Atoll"
Chef  De Cuisine,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/117477/apply/email,"United States, California, San Diego"
Attendant Room,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124390/apply/email,"United States, Illinois, Naperville"
Operations Manager - IHG Army Hotels at Fort Johnson,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124375/apply/email,"United States, Louisiana, Fort Polk"
"Group Product Manager, Distribution Products",https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/122963/apply/email,"United States, Georgia, Atlanta"
Housekeeping Room Attendant (Full-Time) l InterContinental Miami Downtown,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/122962/apply/email,"United States, Florida, Miami"
Supv Front desk,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124388/apply/email,"United States, Louisiana, New Orleans"
